      编号                            名称            数量            单价            总价
2023110001                        篮球背心            1456           60.00        87360.00
2023110002                        品牌手表              80         6000.00       480000.00
2023110003                          化妆水             600          500.00       300000.00
2023110004                            假发              78          100.00         7800.00
2023110005                  思想道德与法制            2300           18.00        41400.00
2023110006                          物理学             586           42.00        24612.00
2023110007              电路与模拟电子技术             950           51.00        48450.00
2023110008                            篮球             900           80.00        72000.00
2023110009                          背带裤             544          120.00        65280.00
2023110010                          电动车              24         1000.00        24000.00
2023110011                        精品沙发              50          800.00        40000.00
2023110012                        方便食品            1000           10.00        10000.00
2023110013                            奶粉             840           66.00        55440.00
2023110014                            模型              85           99.00         8415.00
2023110015                            电视             500         3600.00      1800000.00
2023110016                          洗衣机             240          999.00       239760.00
2023110017                            木门             450          120.00        54000.00
2023110018                            台灯             800           50.00        40000.00
2023110019                            衣柜              50          400.00        20000.00
2023110020                        监控器材             100          600.00        60000.00
2023110021                        卫浴五金              50           88.00         4400.00
2023110022                        高音喇叭             400           54.00        21600.00
2023110023                      无线上网卡             600           50.00        30000.00
2023110024                            鼠标              40           20.00          800.00
2023110025                              鸡             500           45.00        22500.00
2023110026                          酒精灯             100           20.00         2000.00
2023110027                          保温杯             666          100.00        66600.00
2023110028                      笔记本电脑             100         6500.00       650000.00
2023110029                      普通中性笔            8888            1.00         8888.00
2023110030                            镜子             888           23.00        20424.00
